#	SYM	#
#1	NUM	#1
#2	SYM	#2
#aivot	NOUN	#aivot
#aivoviikko	NOUN	#aivo#viikko
#alkoholilaki	NOUN	#alkoholi#laki
#amistenpuolella	X	#amistenpuolella
#ammatillinenkoulutus	NOUN	#ammatillinen#koulutus
#blogit	NOUN	#blogi
#cmoref1	X	#cmoref1
#dog	X	#dog
#esimerkki	NOUN	#esimerkki
#esimiestyö	NOUN	#esi#mies#työ
#eslonecologne	X	#ESLOneCologne
#eurojatalous	X	#eurojatalous
#finanssiala	NOUN	#finanssi#ala
#finland100	X	#finland100
#finnishlapphund	X	#finnishlapphund
#forest	X	#forest
#hashtag	X	#hashtag
#hctps:n	PROPN	#HCTPS
#helsinki	PROPN	#Helsinki
#hyvinvointi	NOUN	#hyvin#vointi
#intiaanipäähinegate:n	NOUN	#intiaani#päähine#gate
#itsensäjohtaminen	X	#itsensäjohtaminen
#johtaminen	NOUN	#johtaminen
#jännä	ADJ	#jännä
#kansijaareena	X	#kansijaareena
#kiitollisuuskalenteri	NOUN	#kiitollisuus#kalenteri
#koira	NOUN	#koira
#kookoo	PROPN	#KooKoo
#kopla	PROPN	#Kopla
#kott2016	X	#kott2016
#koulu17	X	#koulu17
#koulutus	NOUN	#koulutus
#kuluttaminen	NOUN	#kuluttaminen
#kuopio	PROPN	#Kuopio
#kups	PROPN	#KuPS
#kuvakulma	NOUN	#kuva#kulma
#liiga	PROPN	#Liiga
#luonto	NOUN	#luonto
#luontokuva	NOUN	#luonto#kuva
#luontopolku	NOUN	#luonto#polku
#luontotwiitti	NOUN	#luonto#twiitti
#maksuliiketilastot	NOUN	#maksu#liike#tilasto
#media	NOUN	#media
#mekaanikko'ja	NOUN	mekaanikko
#metsä	NOUN	#metsä
#nature	X	#nature
#nevöföget	X	#nevöföget
#nuoret	NOUN	#nuori
#oikea	ADJ	#oikea
#oscarit	PROPN	#Oscar
#ostatyötäsuomeen	X	#ostatyötäsuomeen
#ostokset	NOUN	#ostos
#palaute	NOUN	#palaute
#palokunta	NOUN	#palo#kunta
#passion	X	#passion
#peliaddiktio	NOUN	#peli#addiktio
#peliriippuvuus	NOUN	#peli#riippuvuus
#pesis	NOUN	#pesis
#photography	X	#photography
#pielavesi	PROPN	#Pielavesi
#pitkospuut	NOUN	#pitkos#puut
#porraspäivät	NOUN	#porras#päivät
#pyöräily	NOUN	#pyöräily
#raskausaika	NOUN	#raskaus#aika
#rekry	NOUN	#rekry
#rekrykoulutus-hakuaikaa	NOUN	#RekryKoulutus#haku#aika
#ruokatauolla	NOUN	#ruoka#tauko
#sairaus	NOUN	#sairaus
#salibandy	NOUN	#sali#bandy
#sikiö	NOUN	#sikiö
#sorisiitä	X	#sorisiitä
#srvrakentaa	X	#SRVrakentaa
#stressi	NOUN	#stressi
#suomenlapinkoira	NOUN	#suomen#lapin#koira
#suomi100	PROPN	#suomi100
#suomiareena	PROPN	#suomi#areena
#susijengi	PROPN	#Susijengi
#tautiluokitus	NOUN	#tauti#luokitus
#testiin	NOUN	#testi
#tietovuoto	NOUN	#tieto#vuoto
#tutkimus	NOUN	#tutkimus
#tvof	PROPN	#tvof
#työ	NOUN	#työ
#työilmapiiri	NOUN	#työ#ilma#piiri
#työpaikat	NOUN	#työ#paikka
#unelmaduuni	NOUN	#unelma#duuni
#uusivaihtoehto	X	#uusivaihtoehto
#uutisvahti	NOUN	#uutis#vahti
#uv	NOUN	#uv
#vakuutus	NOUN	#vakuutus
#varusmiestenkuntotesti	X	#varusmiestenkuntotesti
#vastuu	NOUN	#vastuu
#viestikoelaitos	NOUN	#viesti#koe#laitos
#vpk	PROPN	#vpk
#who	PROPN	#WHO
#yrityskulttuuri	NOUN	#yritys#kulttuuri
%:	NOUN	%
%:een	NOUN	%
%:iin	NOUN	%
%:lla	NOUN	%
%:lla	SYM	%
%:n	NOUN	%
%:n	SYM	%
%:sta	NOUN	%
jaoin	VERB	jakaa
jaon	NOUN	jako
jaossa	NOUN	jako
jaotellaan	VERB	jaotella
jaotteluun	NOUN	jaottelu
japaniin	PROPN	Japani
japanilaiseen	ADJ	japanilainen
japanilaisen	ADJ	japanilainen
japanilaiset	ADJ	japanilainen
japanilaisia	ADJ	japanilainen
japanilaisilla	NOUN	japanilainen
japanilaismerkkien	NOUN	japanilais#merkki
japanilaisten	ADJ	japanilainen
japanille	PROPN	Japani
japanin	PROPN	Japani
japanissa	PROPN	Japani
jari-matilla	PROPN	Jari-Matti
jarin	PROPN	Jari
jaroslavliin	PROPN	Jaroslavl
jarruja	NOUN	jarru
jarrumiehenä	NOUN	jarru#mies
jarrut	NOUN	jarru
jarruttavat	VERB	jarruttaa
jarrutukseen	NOUN	jarrutus
jarrutuksen	NOUN	jarrutus
jarzembowskia	PROPN	Jarzembowski
jasminen	PROPN	Jasmine
jasminesta	PROPN	Jasmine
jatkaessaan	VERB	jatkaa
jatkaisi	VERB	jatkaa
jatkajia	NOUN	jatkaja
jatkamaan	VERB	jatkaa
jatkamalla	VERB	jatkaa
jatkamiseen	NOUN	jatkaminen
jatkamisen	NOUN	jatkaminen
jatkamisesta	NOUN	jatkaminen
jatkamista	NOUN	jatkaminen
jatkamme	VERB	jatkaa
jatkan	VERB	jatkaa
jatkaneet	VERB	jatkaa
jatkanut	VERB	jatkaa
jatkat	VERB	jatkaa
jatkavan	VERB	jatkaa
jatketaan	VERB	jatkaa
jatkettava	VERB	jatkaa
jatkettiin	VERB	jatkaa
jatkettu	VERB	jatkaa
jatkista	PROPN	Jatkis
jatko	VERB	jatkaa
jatko-	NOUN	jatko
jatko-opiskelija	NOUN	jatko#opiskelija
jatko-opiskelupaikan	NOUN	jatko#opiskelu#paikka
jatko-osa	NOUN	jatko#osa
jatkoa	NOUN	jatko
jatkoaikaan	PROPN	Jatkoaika
jatkoajalla	NOUN	jatko#aika
jatkoajalta	NOUN	jatko#aika
jatkoajan	NOUN	jatko#aika
jatkoajasta	PROPN	Jatkoaika
jatkoi	VERB	jatkaa
jatkoille	NOUN	jatkot
jatkoimme	VERB	jatkaa
jatkoin	VERB	jatkaa
jatkoissa	NOUN	jatko
jatkoivat	VERB	jatkaa
jatkojen	NOUN	jatkot
jatkoksi	NOUN	jatko
jatkokuljetusten	NOUN	jatko#kuljetus
jatkon	NOUN	jatko
jatkona	NOUN	jatko
jatkonsa	NOUN	jatko
jatkoon	NOUN	jatko
jatkopelejä	NOUN	jatko#peli
jatkosodan	NOUN	jatko#sota
jatkosodassa	NOUN	jatko#sota
jatkossa	NOUN	jatko
jatkossakin	NOUN	jatko
jatkot	NOUN	jatko
jatkotarinan	NOUN	jatko#tarina
jatkotoimiin	NOUN	jatko#toimi
jatkotutkimuksiin	NOUN	jatko#tutkimus
jatkotutkintokokeilut	NOUN	jatko#tutkinto#kokeilu
jatkoyhteyksissä	NOUN	jatko#yhteys
jatku	VERB	jatkua
jatkui	VERB	jatkua
jatkuisi	VERB	jatkua
jatkuivat	VERB	jatkua
jatkumaan	VERB	jatkua
jatkumiselle	NOUN	jatkuminen
jatkumisen	NOUN	jatkuminen
jatkunee	VERB	jatkua
jatkuneet	VERB	jatkua
jatkunut	VERB	jatkua
jatkuu	VERB	jatkua
jatkuvaa	ADJ	jatkuva
jatkuvalla	ADJ	jatkuva
jatkuvan	ADJ	jatkuva
jatkuvan	VERB	jatkua
jatkuvassa	ADJ	jatkuva
jatkuvasta	ADJ	jatkuva
jatkuvat	ADJ	jatkuva
jatkuvat	VERB	jatkua
jatkuvia	VERB	jatkua
jatkuvien	ADJ	jatkuva
jatkuville	VERB	jatkua
jatkuvista	ADJ	jatkuva
jatsin	NOUN	jatsi
jatulintarhat	NOUN	jatuli#tarha
jatulintarhoja	NOUN	jatuli#tarha
jauha	VERB	jauhaa
jauhamalla	VERB	jauhaa
jauhat	VERB	jauhaa
jauheeksi	NOUN	jauhe
jauheliha-pekonikastike	NOUN	jauhe#liha#pekoni#kastike
jauheliha-pekonikastikkeessa	NOUN	jauhe#liha#pekoni#kastike
jauheliha-pekonikeitto	NOUN	jauhe#liha#pekoni#keitto
jauhelihasta	NOUN	jauhe#liha
jauhobanaanit	NOUN	jauho#banaani
jauhoisia	ADJ	jauhoinen
jauhopeukalot	NOUN	jauho#peukalo
jauhosta	NOUN	jauho
javascriptin	PROPN	javascript
javascriptistä	PROPN	JavaScript
jazz-paikka	NOUN	jazz#paikka
jazz-vaikutteita	NOUN	jazz#vaikute
jazzin	NOUN	jazz
jeania	PROPN	Jean
jedi-ritarit	NOUN	jedi#ritari
jediritaria	NOUN	jedi#ritari
jeesaan	VERB	jeesata
jeesuksen	NOUN	jeesus
jeesuksen	PROPN	Jeesus
jeesus-elämäkerrassa	NOUN	Jeesus#elämä#kerta
jeesus-pilakuvista	NOUN	jeesus#pila#kuva
jeesustelemaan	VERB	jeesustella
jeltsinin	PROPN	Jeltsin
jengin	NOUN	jengi
jenkit	NOUN	jenkki
jenkkikaapin	NOUN	jenkki#kaappi
jenningsin	PROPN	Jennings
jensillä	PROPN	Jens
jensin	PROPN	Jens
jerevanista	PROPN	Jerevan
jerseyssä	PROPN	Jersey
jerusalemissa	PROPN	Jerusalem
jerusalemista	PROPN	Jerusalem
jesarin	NOUN	jesari
jesidinaisista	NOUN	jesidi#nainen
jesuiitta-aatteen	NOUN	jesuiitta#aate
jesuiittatuomarit	NOUN	jesuiitta#tuomari
jesuiittaurasta	NOUN	jesuiitta#ura
jesuiittaveljeskunnalle	NOUN	jesuiitta#veljes#kunta
jesuiittaveljeskunnan	NOUN	jesuiitta#veljes#kunta
jhl:n	PROPN	JHL
jin-dynastian	NOUN	Jin#dynastia
jintaosta	PROPN	Jintao
jj:n	PROPN	JJ
jne	ADV	jne.
joanista	NOUN	Joan
jodlausta	NOUN	jodlaus
joella	NOUN	joki
joen	NOUN	joki
joenranta-alueella	NOUN	joki#ranta#alue
joensuun	PROPN	Joensuu
joensuusta	PROPN	Joensuu
joenvartta	NOUN	joen#varsi
joessa	NOUN	joki
joet	NOUN	joki
jogurtin	NOUN	jogurtti
johan	ADV	jo
johanin	PROPN	Johan
johannekselle	PROPN	Johannes
johanssonin	PROPN	Johansson
johda	VERB	johtaa
johdantoartikkelin	NOUN	johdanto#artikkeli
johdatti	VERB	johdattaa
johdeaitojen	NOUN	johde#aita
johdettiin	VERB	johtaa
johdettu	VERB	johtaa
johdetun	VERB	johtaa
johdolla	NOUN	johto
johdollaan	NOUN	johto
johdon	NOUN	johto
johdonmukaisempiin	ADJ	johdon#mukainen
johdonmukaiset	ADJ	johdon#mukainen
johdonmukaisia	ADJ	johdon#mukainen
johdonmukaista	ADJ	johdon#mukainen
johdonmukaisuuden	NOUN	johdon#mukaisuus
johdonmukaisuutta	NOUN	johdon#mukaisuus
johdossa	NOUN	johto
johdosta	NOUN	johto
johdot	NOUN	johto
johdotusdiagrammit	NOUN	johdotus#diagrammi
johdu	VERB	johtua
johnsonin	PROPN	Johnson
johnsonsin	PROPN	Johnsons
johnun	PROPN	Johnu
johon	PRON	joka
johonki	PRON	jokin
johonkin	PRON	jokin
johtaisi	VERB	johtaa
johtajaa	NOUN	johtaja
johtajaksi	NOUN	johtaja
johtajan	NOUN	johtaja
johtajana	NOUN	johtaja
johtajaopettajan	NOUN	johtaja#opettaja
johtajat	NOUN	johtaja
johtajia	NOUN	johtaja
johtajien	NOUN	johtaja
johtajilla	NOUN	johtaja
johtajista	NOUN	johtaja
johtajuutta	NOUN	johtajuus
johtama	VERB	johtaa
johtamaansa	VERB	johtaa
johtamalla	VERB	johtaa
johtaman	VERB	johtaa
johtamassa	VERB	johtaa
johtamat	VERB	johtaa
johtamien	VERB	johtaa
johtamina	VERB	johtaa
johtamiseen	NOUN	johtaminen
johtaneen	VERB	johtaa
johtaneet	VERB	johtaa
johtaneita	VERB	johtaa
johtanut	VERB	johtaa
johtava	VERB	johtaa
johtavaan	ADJ	johtava
johtavaksi	ADJ	johtava
johtavalta	VERB	johtaa
johtavan	ADJ	johtava
johtavana	ADJ	johtava
johtavassa	VERB	johtaa
johtavasta	VERB	johtaa
johtavat	ADJ	johtava
johtavat	VERB	johtaa
johtavia	ADJ	johtava
johtavien	ADJ	johtava
johti	VERB	johtaa
johtivat	VERB	johtaa
johtoa	NOUN	johto
johtoaseman	NOUN	johto#asema
johtohahmona	NOUN	johto#hahmo
johtokunnan	NOUN	johto#kunta
johtokunnassa	NOUN	johto#kunta
johtokäytännöt	NOUN	johto#käytäntö
johtolankana	NOUN	johto#lanka
johtonsa	NOUN	johto
johtoon	NOUN	johto
johtoonsa	NOUN	johto
johtopäätökseen	NOUN	johto#päätös
johtopäätöksen	NOUN	johto#päätös
johtopäätöksenne	NOUN	johto#päätös
johtopäätökset	NOUN	johto#päätös
johtopäätöksistä	NOUN	johto#päätös
johtopäätöksiä	NOUN	johto#päätös
johtoryhmiä	NOUN	johto#ryhmä
johtotehtävien	NOUN	johto#tehtävä
johtotehtäviin	NOUN	johto#tehtävä
johtuen	VERB	johtua
johtui	VERB	johtua
johtunee	VERB	johtua
johtuneen	VERB	johtua
johtuneet	VERB	johtua
johtunut	VERB	johtua
johtuu	VERB	johtua
johtuvaa	VERB	johtua
johtuvan	VERB	johtua
johtuvat	VERB	johtua
johtuvatko	VERB	johtua
johtuvia	VERB	johtua
johtuvien	VERB	johtua
johtuviin	VERB	johtua
joi	VERB	juoda
joiden	PRON	joka
joidenkin	PRON	jokin
joihin	PRON	joka
joihinkin	PRON	jokin
joilla	PRON	joka
joillakin	PRON	jokin
joille	PRON	joka
joillekin	PRON	jokin
joilta	PRON	joka
joiltain	PRON	jokin
join	VERB	juoda
joina	PRON	joka
joinain	PRON	jokin
joinakin	PRON	jokin
joisin	VERB	juoda
joissa	PRON	joka
joissain	PRON	jokin
joissakin	PRON	jokin
joista	PRON	joka
joistain	PRON	jokin
joistakin	PRON	jokin
joit	VERB	juoda
joita	PRON	joka
joitain	PRON	jokin
joitakin	PRON	jokin
joivat	VERB	juoda
jokaiseen	PRON	jokainen
jokaiseksi	PRON	jokainen
jokaisella	PRON	jokainen
jokaiselle	PRON	jokainen
jokaiselta	PRON	jokainen
jokaisen	PRON	jokainen
jokaisena	PRON	jokainen
jokaisessa	PRON	jokainen
jokaisesta	PRON	jokainen
jokaista	PRON	jokainen
jokapäiväisen	ADJ	jokapäiväinen
jokapäiväisistä	ADJ	joka#päiväinen
jokapäiväisten	ADJ	jokapäiväinen
jokaviikkoisen	ADJ	joka#viikkoinen
jokea	NOUN	joki
jokeen	NOUN	joki
jokelan	PROPN	Jokela
jokereista	PROPN	Jokeri
jokerien	PROPN	Jokerit
jokia	NOUN	joki
jokien	NOUN	joki
jokirannassa	NOUN	joki#ranta
jokisen	PROPN	Jokinen
jokisesta	PROPN	Jokinen
jokusia	PRON	jokunen
jokö	CCONJ	joko
jol-loin	ADV	jolloin
joliot-curielle	PROPN	Joliot-Curie
jolkottelemaan	VERB	jolkotella
jolkotteli	VERB	jolkotella
joll	SCONJ	jos
jolla	PRON	joka
jollain	PRON	jokin
jollaista	ADJ	jollainen
jollakin	PRON	jokin
jollakulla	PRON	joku
jolle	PRON	joka
jollekin	PRON	jokin
jolta	PRON	joka
joltain	PRON	jokin
jommankumman	PRON	jompikumpi
jona	PRON	joka
jonain	PRON	jokin
jonakin	PRON	jokin
jonea	PROPN	Jone
jonesin	PROPN	Jones
jonesta	PROPN	Jone
jonglöörausta	NOUN	jonglööraus
jonka	PRON	joka
jonkilainen	ADJ	jonkinlainen
jonkin	ADV	jokin
jonkin	PRON	jokin
jonkinasteisena	ADJ	jonkin#asteinen
jonkinlaiselle	ADJ	jonkinlainen
jonkinlaisen	ADJ	jonkinlainen
jonkinlaisena	ADJ	jonkinlainen
jonkinlaisesta	ADJ	jonkinlainen
jonkinlaiset	ADJ	jonkinlainen
jonkinlaisia	ADJ	jonkinlainen
jonkinlaista	ADJ	jonkinlainen
jonku	PRON	joku
jonkullaine	ADJ	jonkunlainen
jonkun	PRON	joku
jonkunhan	PRON	joku
jonnan	PROPN	Jonna
jonne	PRON	joka
jonneki	ADV	jonnekin
jonnekkii	ADV	jonnekin
jonnyn	PROPN	Jonny
jonoa	NOUN	jono
jonottavat	VERB	jonottaa
jonottivat	VERB	jonottaa
jonoviidakossa	NOUN	jono#viidakko
joogaa	VERB	joogata
jope-imitaattoreita	NOUN	Jope#imitaattori
jordanian	PROPN	Jordania
jorinoitaan	NOUN	jorina
jortikan	PROPN	Jortikka
josephin	PROPN	Joseph
joskin	ADV	jos
jossa	PRON	joka
jossai	PRON	jokin
jossain	PRON	jokin
jossakin	PRON	jokin
josta	PRON	joka
jostain	PRON	jokin
jostakin	PRON	jokin
jota	PRON	joka
jotai	PRON	jokin
jotain	PRON	jokin
jotakin	PRON	jokin
jotakuta	PRON	joku
jotenki	PRON	jokin
jotka	PRON	joka
jotkin	PRON	jokin
jotku	PRON	joku
jotkut	PRON	joku
joudu	AUX	joutua
jouduimme	VERB	joutua
jouduin	AUX	joutua
jouduin	VERB	joutua
jouduinkin	AUX	joutua
jouduinkin	VERB	joutua
joudumme	VERB	joutua
joudun	AUX	joutua
joudun	VERB	joutua
joudut	VERB	joutua
joudutaan	AUX	joutua
jouduttiin	AUX	joutua
jouduttu	AUX	joutua
jouduttu	VERB	joutua
jouduttuaan	VERB	joutua
joukkiomme	NOUN	joukkio
joukkoa	NOUN	joukko
joukkohaudoista	NOUN	joukko#hauta
joukkohautausmaahan	NOUN	joukko#hautaus#maa
joukkoirtisanomisia	NOUN	joukko#irti#sanominen
joukkoirtisanoutumiset	NOUN	joukko#irtisanoutuminen
joukkoja	NOUN	joukko
joukkokirjeitä	NOUN	joukko#kirje
joukkonsa	NOUN	joukko
joukkoon	NOUN	joukko
joukkoonsa	NOUN	joukko
joukkoraiskaajat	NOUN	joukko#raiskaaja
joukkoraiskanneiden	VERB	joukko#raiskata
joukkoraiskasi	VERB	joukko#raiskata
joukkoraiskauksen	NOUN	joukko#raiskaus
joukkotuhoaseita	NOUN	joukko#tuho#ase
joukkovelkakirjalainojen	NOUN	joukko#velka#kirja#laina
joukkovelkakirjojen	NOUN	joukko#velka#kirja
joukkueella	NOUN	joukkue
joukkueelle	NOUN	joukkue
joukkueelleen	NOUN	joukkue
joukkueemme	NOUN	joukkue
joukkueen	NOUN	joukkue
joukkueenjohtaja	NOUN	joukkue#johtaja
joukkueensa	NOUN	joukkue
joukkueessa	NOUN	joukkue
joukkueet	NOUN	joukkue
joukkueiden	NOUN	joukkue
joukkueisiin	NOUN	joukkue
joukkueista	NOUN	joukkue
joukkueita	NOUN	joukkue
joukkuekultaa	NOUN	joukkue#kulta
joukkuetta	NOUN	joukkue
joukkueurheilulajiin	NOUN	joukkue#urheilu#laji
joukkutanssilla	NOUN	joukkue#tanssi
joukoin	NOUN	joukko
joukoista	NOUN	joukko
joukolla	NOUN	joukko
joukolta	NOUN	joukko
joukon	NOUN	joukko
joukossa	NOUN	joukko
joukossaan	NOUN	joukko
joukosta	NOUN	joukko
joukot	NOUN	joukko
joulua	NOUN	joulu
jouluaatoksi	NOUN	joulu#aatto
jouluaattoja	NOUN	joulu#aatto
joulufiilistä	NOUN	joulu#fiilis
jouluherkkujen	NOUN	joulu#herkku
jouluherkut	NOUN	joulu#herkku
jouluherkutteluja	NOUN	joulu#herkuttelu
joulujuhlaa	NOUN	joulu#juhla
joulukuiseen	ADJ	joulu#kuinen
joulukuuhun	NOUN	joulukuu
joulukuun	NOUN	joulukuu
joulukuusensa	NOUN	joulu#kuusi
joulukuussa	NOUN	joulukuu
joulukuuta	NOUN	joulukuu
joululahjaksi	NOUN	joulu#lahja
joululahjasta	NOUN	joulu#lahja
joululahjat	NOUN	joulu#lahja
joululahjoja	NOUN	joulu#lahja
joulumaahan	NOUN	joulu#maa
joulumaasta	NOUN	joulu#maa
joulun	NOUN	joulu
jouluna	NOUN	joulu
joulunjatkoa	NOUN	joulu#jatko
joulupukin	NOUN	joulu#pukki
joulupöydästäni	NOUN	joulu#pöytä
joulurauhaa	NOUN	joulu#rauha
joulureissuista	NOUN	joulu#reissu
jouluriemusta	NOUN	joulu#riemu
jouluruokia	NOUN	joulu#ruoka
jouluruokien	NOUN	joulu#ruoka
jouluruuantarpeeni	NOUN	joulu#ruoka#tarve
joulusta	NOUN	joulu
joulustressistä	NOUN	joulu#stressi
jouluvalmistelut	NOUN	joulu#valmistelu
jouluvaloa	NOUN	joulu#valo
jouluyön	NOUN	joulu#yö
jouluyötä	NOUN	joulu#yö
journalin	PROPN	Journal
journalissa	PROPN	Journal
journalistin	NOUN	journalisti
jousian	PROPN	Jousia
joustamaan	VERB	joustaa
joustavammalla	ADJ	joustava
joustavat	ADJ	joustava
joustavia	ADJ	joustava
joustavien	ADJ	joustava
joustavuuden	NOUN	joustavuus
joustavuutta	NOUN	joustavuus
joustettavasta	VERB	joustaa
joustintyynyt	NOUN	joustin#tyyny
joutavalta	ADJ	joutava
joutavuudessa	NOUN	joutavuus
joutavuudesta	NOUN	joutavuus
joutilaamman	ADJ	joutilas
joutilaiden	NOUN	joutilas
joutilaiksi	ADJ	joutilas
joutilaisuuden	NOUN	joutilaisuus
joutui	AUX	joutua
joutui	VERB	joutua
joutuisi	AUX	joutua
joutuisi	VERB	joutua
joutuisinko	AUX	joutua
joutuisivat	AUX	joutua
joutuivat	AUX	joutua
joutuivat	VERB	joutua
joutumassa	VERB	joutua
joutumisella	NOUN	joutuminen
joutumisen	NOUN	joutuminen
joutumista	NOUN	joutuminen
joutunee	AUX	joutua
joutuneen	VERB	joutua
joutuneet	VERB	joutua
joutuneita	VERB	joutua
joutunu	VERB	joutua
joutunut	AUX	joutua
joutunut	VERB	joutua
joutuu	AUX	joutua
joutuu	VERB	joutua
joutuvan	VERB	joutua
joutuvansa	VERB	joutua
joutuvat	AUX	joutua
joutuvat	VERB	joutua
jr.:lle	PROPN	Jr.
js:n	PROPN	JS
juanin	PROPN	Juan
judgen	PROPN	Judge
jugoslavian	PROPN	Jugoslavia
jugoslaviassa	PROPN	Jugoslavia
jugurthan	PROPN	Jugurtha
juhaa	PROPN	Juha
juhannuksena	NOUN	juhannus
juhannusaattona	NOUN	juhannus#aatto
juhannusruusut	NOUN	juhannus#ruusu
juhla-	NOUN	juhla
juhlaa	NOUN	juhla
juhlaan	NOUN	juhla
juhlaesitelmän	NOUN	juhla#esitelmä
juhlahetken	NOUN	juhla#hetki
juhlahetkinä	NOUN	juhla#hetki
juhlahunnun	NOUN	juhla#huntu
juhlahuoneesta	NOUN	juhla#huone
juhlajuomat	NOUN	juhla#juoma
juhlakalun	NOUN	juhla#kalu
juhlallisen	ADJ	juhlallinen
juhlallisuuksissa	NOUN	juhlallisuus
juhlan	NOUN	juhla
juhlapuheen	NOUN	juhla#puhe
juhlapäivänä	NOUN	juhla#päivä
juhlapäivää	NOUN	juhla#päivä
juhlaromantiikkaa	NOUN	juhla#romantiikka
juhlaromantiikkaan	NOUN	juhla#romantiikka
juhlasalissa	NOUN	juhla#sali
juhlaseksiä	NOUN	juhla#seksi
juhlassa	NOUN	juhla
juhlat	NOUN	juhla
juhlavaksi	ADJ	juhlava
juhlavampia	ADJ	juhlava
juhlaviikkojen	NOUN	juhla#viikko
juhli	VERB	juhlia
juhlia	NOUN	juhla
juhliakaan	NOUN	juhla
juhlien	NOUN	juhla
juhlien	VERB	juhlia
juhliessa	VERB	juhlia
juhliin	NOUN	juhla
juhlijalle	NOUN	juhlija
juhlijalta	NOUN	juhlija
juhlijoiden	NOUN	juhlija
juhlijoita	NOUN	juhlija
juhlimaan	VERB	juhlia
juhlimassa	VERB	juhlia
juhlimat	VERB	juhlia
juhlimme	VERB	juhlia
juhlinnan	NOUN	juhlinta
juhlista	NOUN	juhla
juhlistamaan	VERB	juhlistaa
juhlistettiin	VERB	juhlistaa
juhlistimme	VERB	juhlistaa
juhlitaan	VERB	juhlia
juhlittiin	VERB	juhlia
juhlituksi	VERB	juhlia
jukkaos-lajissa	NOUN	JukkaOS#laji
juliasta	PROPN	Julia
julistamisesta	NOUN	julistaminen
julistan	VERB	julistaa
julistautui	VERB	julistautua
julisteesta	NOUN	juliste
julisteita	NOUN	juliste
julistesuunnittelijoiden	NOUN	juliste#suunnittelija
julistettiin	VERB	julistaa
julisti	VERB	julistaa
julistuksen	NOUN	julistus
julistusta	NOUN	julistus
julkaisee	VERB	julkaista
julkaisema	VERB	julkaista
julkaisemaa	VERB	julkaista
julkaisemaan	VERB	julkaista
julkaisemalla	VERB	julkaista
julkaisemassa	VERB	julkaista
julkaisemat	VERB	julkaista
julkaisematta	VERB	julkaista
julkaisemiani	VERB	julkaista
julkaisemista	NOUN	julkaiseminen
julkaisemista	VERB	julkaista
julkaisi	VERB	julkaista
julkaissut	VERB	julkaista
julkaistaan	VERB	julkaista
julkaistava	VERB	julkaista
julkaistavan	VERB	julkaista
julkaistiin	VERB	julkaista
julkaistu	VERB	julkaista
julkaistuissa	VERB	julkaista
julkaistuista	VERB	julkaista
julkaistujen	VERB	julkaista
julkaistulla	VERB	julkaista
julkaistulta	VERB	julkaista
julkaistun	VERB	julkaista
julkaistussa	VERB	julkaista
julkaistusta	VERB	julkaistu
julkaistuun	VERB	julkaista
julkaisua	NOUN	julkaisu
julkaisuaikataulussa	NOUN	julkaisu#aika#taulu
julkaisuksi	NOUN	julkaisu
julkaisun	NOUN	julkaisu
julkaisunsa	NOUN	julkaisu
julkaisusarjassa	NOUN	julkaisu#sarja
julkaisusopimuksen	NOUN	julkaisu#sopimus
julkaisusta	NOUN	julkaisu
julkaisuteollisuudesta	NOUN	julkaisu#teollisuus
julkaisuviikollaan	NOUN	julkaisu#viikko
julkilausuman	NOUN	julki#lausuma
julkilausumassa	NOUN	julkilausuma
julkilausumiin	NOUN	julki#lausuma
julkiseen	ADJ	julkinen
julkiseksi	ADJ	julkinen
julkisella	ADJ	julkinen
julkiselle	ADJ	julkinen
julkisen	ADJ	julkinen
julkisena	ADJ	julkinen
julkisessa	ADJ	julkinen
julkisesta	ADJ	julkinen
julkiset	ADJ	julkinen
julkishallinnon	NOUN	julkis#hallinto
julkishallintojen	NOUN	julkis#hallinto
julkisiin	ADJ	julkinen
julkisiksi	ADJ	julkinen
julkisille	ADJ	julkinen
julkisin	ADJ	julkinen
julkisista	ADJ	julkinen
julkisomisteisille	ADJ	julkis#omisteinen
julkista	ADJ	julkinen
julkistamaa	VERB	julkistaa
julkistaman	VERB	julkistaa
julkistamien	VERB	julkistaa
julkistamisen	NOUN	julkistaminen
julkistamisesta	NOUN	julkistaminen
julkisten	ADJ	julkinen
julkistetaan	VERB	julkistaa
julkistettavia	VERB	julkistaa
julkistettiin	VERB	julkistaa
julkistettu	VERB	julkistaa
julkistetut	VERB	julkistaa
julkisti	VERB	julkistaa
julkistivat	VERB	julkistaa
julkisuuden	NOUN	julkisuus
julkisuudessa	NOUN	julkisuus
julkisuustemppuna	NOUN	julkisuus#temppu
julkisuuteen	NOUN	julkisuus
julkisuutta	NOUN	julkisuus
julkisyhteisöille	NOUN	julkis#yhteisö
julkisyhteisöjen	NOUN	julkis#yhteisö
julkkisprinsessat	NOUN	julkkis#prinsessa
julkkisprinsessat-luennolla	NOUN	Julkkis#prinsessat#luento
julmaa	ADJ	julma
julmalla	ADJ	julma
jumalaansa	PROPN	Jumala
jumalan	NOUN	jumala
jumalan	PROPN	Jumala
jumalanpilkkalain	NOUN	jumalan#pilkka#laki
jumalat	NOUN	jumala
jumalat	PROPN	Jumala
jumalatonta	ADJ	jumalaton
jumalia	NOUN	jumala
jumalten	NOUN	jumala
jumaluudet	NOUN	jumaluus
jumitan	VERB	jumittaa
jumittuneena	VERB	jumittua
jumituin	VERB	jumittua
jumiudumme	VERB	jumiutua
